activo,kappa,theta,xi,rho,v0,R2
SP500,1.838497192657916,0.032016951262071734,0.8521454365308991,0.010131465455534549,0.0173667239533057,0.0036446348504111103
AAPL,2.8210568655815016,0.0842597864250379,0.9339466424488675,0.034975588694539955,0.0386480202581603,0.005600670388763662
MSFT,2.447354986272176,0.07636738940388758,0.927636656581088,-0.009355163245317853,0.1261240279396641,0.004835186019042426
GOLD,4.617736043448064,0.02755173306234379,0.6629743824946348,-0.15739904412309852,0.0348188385582103,0.009163615340161413
