activo,kappa,theta,xi,rho,v0,R2
SP500,0.5,0.03773530345489468,0.9496514192059259,0.008718087679373874,0.0173667239533057,0.0017094927001496396
AAPL,8.0,0.06586676300477196,0.9602065852073884,0.03410449970390606,0.0386480202581603,-0.014426218100522359
MSFT,8.0,0.057896612007974274,0.9414983252569178,-0.005188711759493595,0.1261240279396641,-0.021187583817545264
GOLD,4.30507218270765,0.027502785706604076,0.6335540967327343,-0.15760916251873497,0.0348188385582103,0.009121590952915981
