Date,Adj Close,Close,High,Low,Open,Volume,Log_Return,Var_Hist
2016-06-29,1323.9000244140625,1323.9000244140625,1327.4000244140625,1311.5999755859375,1311.5999755859375,414,0.006517130786711063,0.038731098943601265
2016-06-30,1318.4000244140625,1318.4000244140625,1323.5,1314.5,1315.800048828125,560,-0.004163045711473091,0.039058577916499894
2016-07-01,1336.699951171875,1336.699951171875,1344.199951171875,1321.9000244140625,1324.5,137,0.013784954775413433,0.03970187126187682
2016-07-05,1356.4000244140625,1356.4000244140625,1356.800048828125,1339.699951171875,1342.199951171875,90,0.014630295802076445,0.03583718296738551
2016-07-06,1364.9000244140625,1364.9000244140625,1374.9000244140625,1359.0,1359.0,130,0.006247034498575354,0.035877097952692845
2016-07-07,1360.0999755859375,1360.0999755859375,1368.5999755859375,1350.5,1366.800048828125,207,-0.0035229752607092743,0.03639864875646888
2016-07-08,1356.5999755859375,1356.5999755859375,1365.800048828125,1335.0,1361.300048828125,249,-0.0025766569730396745,0.03603049301490567
2016-07-11,1355.0,1355.0,1371.800048828125,1353.0,1371.699951171875,26,-0.0011800972016698774,0.035978541541932335
2016-07-12,1334.0999755859375,1334.0999755859375,1356.0,1330.300048828125,1353.5999755859375,252,-0.015544565429065389,0.04014829373522074
2016-07-13,1342.4000244140625,1342.4000244140625,1342.4000244140625,1336.699951171875,1341.5,7,0.006202186015081687,0.03983142708071492
2016-07-14,1331.300048828125,1331.300048828125,1341.4000244140625,1322.699951171875,1341.4000244140625,20,-0.00830312978492063,0.04112748169356642
2016-07-15,1326.5,1326.5,1333.699951171875,1322.9000244140625,1333.699951171875,52,-0.003612050537102661,0.04144097782558205
2016-07-18,1328.4000244140625,1328.4000244140625,1335.0,1326.199951171875,1327.5,54,0.0014313343033443948,0.04088381618814467
2016-07-19,1331.5,1331.5,1333.199951171875,1326.4000244140625,1328.5,322,0.0023308973728481423,0.04068810470070049
2016-07-20,1318.800048828125,1318.800048828125,1337.5,1315.5,1331.0,751,-0.009583857031749085,0.042035915376140535
2016-07-21,1330.5,1330.5,1330.5,1312.800048828125,1312.800048828125,318,0.008832542195506029,0.03911057233929814
2016-07-22,1323.0999755859375,1323.0999755859375,1330.699951171875,1320.4000244140625,1330.699951171875,55,-0.005577361821546027,0.03964559734211994
